Serial Number,Start Time,End Time,Text,Layer ID
42,00:02:41:24,00:02:44:22,この講演でベンダーやサービスについての言及があっても、,1
43,00:02:44:22,00:02:48:23,それを推奨するものではないことにご了承ください。,1
44,00:02:49:21,00:02:52:12,Drupal 7の旧サイトは、私たちによく貢献してくれました。,1
45,00:02:52:12,00:03:00:10,"3,000万人以上の訪問者と37,000のコンテンツを提供しました。",1
46,00:03:00:26,00:03:04:24,この3年間で月間の訪問者数が2倍になりました。,1
47,00:03:05:25,00:03:09:11,このサイトでは、私たちの成果を世界に発信しています。,1
48,00:03:09:11,00:03:13:25,例えば、新しい研究棟が完成したとき。,1
49,00:03:13:28,00:03:17:04,Nature誌で高い影響力を持つランキングを獲得したとき。,1
50,00:03:17:04,00:03:21:17,ノーベル賞受賞などの成果を世界に発信しました。,1
51,00:03:22:17,00:03:26:14,私たちの成功を継続的に祝うサイトです。,1
52,00:03:27:07,00:03:30:18,しかし、私たちはこれからもイノベーションに努め、,1
53,00:03:30:18,00:03:34:18,日本の研究の未来を切り開いていきます。,1
54,00:03:35:00,00:03:38:07,これらの目標を達成するために,1
55,00:03:38:07,00:03:38:09,,1
56,00:03:38:09,00:03:40:13,新しい目標を設定し、,1
57,00:03:40:13,00:03:44:17,より効果的で柔軟な方法で成果を,1
58,00:03:44:17,00:03:47:26,出せる新しいウェブサイトが必要でした。,1
59,00:03:48:26,00:03:54:24,2020年、沖縄科学技術大学院大学は戦略計画を定め,1
60,00:03:54:24,00:03:57:16,活動の3本柱を重視するようになりました：,1
61,00:03:57:16,00:04:01:10,研究、教育、そしてイノベーション。,1
62,00:04:01:18,00:04:06:02,また、STEM教育への関心を高め、,1
63,00:04:06:02,00:04:07:28,沖縄に貢献することも私たちの責務です。,1
64,00:04:07:28,00:04:12:03,そして、日本社会へのアウトリーチ活動も私たちの責務です。,1
65,00:04:12:10,00:04:14:06,プロジェクト全体を通して,1
66,00:04:14:06,00:04:17:11,この3つの柱を常に意識しています。,1
67,00:04:17:13,00:04:24:10,Webサイトが組織の戦略に合致するようにしました。,1
68,00:04:24:24,00:04:26:19,技術的な面では、,1
69,00:04:26:19,00:04:31:08,編集者のコンテンツ管理体験を向上させることが目標でした。,1
70,00:04:31:20,00:04:33:11,Drupal 9では、,1
71,00:04:33:11,00:04:36:27,メディアライブラリを使ってアセットを管理できるようになりました。,1
72,00:04:37:04,00:04:41:14,また、ノードの翻訳方法をフィールド翻訳に変更しました。,1
73,00:04:42:00,00:04:43:05,また、Drupalだけでなく、,1
74,00:04:43:05,00:04:45:29,ユーザーエクスペリエンスの一貫性を保つために,1
75,00:04:45:29,00:04:49:14,デザインシステムを導入し、,1
76,00:04:49:14,00:04:51:08,編集者がコンテンツを作成する際に,1
77,00:04:51:08,00:04:55:24,Webコンポーネントを簡単に再利用できるようにしています。,1
78,00:04:56:04,00:04:59:29,Webサイトプロジェクトは、大きく3つのフェーズに分かれていました。,1
79,00:05:00:07,00:05:06:07,2020年12月にベンダーと共同で包括的なユーザー調査を実施し、,1
80,00:05:06:07,00:05:12:26,利害関係者と社内外のユーザーへの理解を深めました。,1
81,00:05:12:29,00:05:14:25,この調査により、ユーザーが私たちをどのように,1
82,00:05:14:25,00:05:17:01,認識しているのかが明らかになりました。,1
83,00:05:17:08,00:05:18:22,と、ウェブサイトの情報アーキテクチャを,1
84,00:05:18:22,00:05:21:11,どのように改善すればよいかを明らかにしました。,1
85,00:05:22:19,00:05:25:08,第2フェーズでは Drupal 9を使用した新しいWebサイトの構築と,1
86,00:05:25:08,00:05:29:02,コンテンツの移行を別のベンダーに依頼しました。,1
87,00:05:29:16,00:05:32:14,ベンダーが開発を完了した後、,1
88,00:05:32:19,00:05:35:12,当社のウェブチームがコンテンツを引き継ぎました。,1
89,00:05:35:21,00:05:38:12,私たちはそれを変換してコンテンツを作り直し、,1
90,00:05:38:12,00:05:40:22,コンテンツ所有者に新しいウェブサイトの,1
91,00:05:40:22,00:05:43:22,使い方をトレーニングしています。,1
92,00:05:44:14,00:05:49:28,また、開発者と私は、更新作業と追加問題の解決に取り組みます。,1
93,00:05:50:27,00:05:55:06,プロジェクト開始から2年後の昨年12月、,1
94,00:05:55:06,00:05:58:27,無事リニューアルを果たしました。,1
95,00:05:59:05,00:06:02:10,OISTのコミュニティからも好評をいただいています。,1
96,00:06:03:11,00:06:06:11,それでは、早速サイトを覗いてみましょう。,1
97,00:06:07:04,00:06:09:02,カラースキームを再定義し、,1
98,00:06:09:02,00:06:12:04,サイト全体に新しいウェブコンポーネントを使用しました。,1
99,00:06:13:09,00:06:17:13,メガメニューは、ユーザーにより良いナビゲーションマップを提供します。,1
100,00:06:19:19,00:06:20:29,メディア・エディターは、,1
101,00:06:20:29,00:06:23:14,関連コンテンツを手動で選択することも、,1
102,00:06:23:14,00:06:27:02,システムに関連コンテンツを選択させることも可能です。,1
103,00:06:30:28,00:06:33:21,フリッカーをサイトに統合し,1
104,00:06:33:22,00:06:37:12,ユーザーが写真集をプレビューできるようにしました。,1
105,00:06:39:05,00:06:42:01,さまざまなキャンペーンや特別委員会のために、,1
106,00:06:42:05,00:06:44:06,マイクロサイト機能を設け、,1
107,00:06:44:09,00:06:49:17,独自のコンテンツを管理し、独自のロゴを表示できるようにしました。,1
108,00:06:52:16,00:06:55:10,最後に、私たちがウェブサイトのために,1
109,00:06:55:10,00:07:00:01,デザインしたコンポーネントを紹介するスタイルガイドも作成しました。,1
110,00:07:08:11,00:07:12:03,さて、次は技術的な面です。,1
111,00:07:12:04,00:07:14:12,ここでは、マイグレーションプロセスの概要と、,1
112,00:07:14:12,00:07:19:01,開発プロジェクトの管理方法について説明したいと思います。,1
113,00:07:19:16,00:07:20:19,マイグレーションは、,1
114,00:07:20:19,00:07:23:24,私たちのプロジェクトにおいて最初にして最も重要な要素でした。,1
115,00:07:23:27,00:07:27:24,重要なコンテンツや資産はすべて移行する必要があります。,1
116,00:07:27:29,00:07:30:22,コンテンツノードの移行だけでなく、,1
117,00:07:30:22,00:07:36:16,CMSで管理されていないファイルや画像も移行する必要がありました。,1
118,00:07:36:28,00:07:40:00,Drupal 7 では。Media Libraryがありませんでした。,1
119,00:07:40:00,00:07:41:26,そのため、アセットを格納するために,1
120,00:07:41:26,00:07:45:23,「video」と「photo」コンテンツタイプを使用しました。,1
121,00:07:45:23,00:07:51:06,そして、コンテンツ本文の中でショートコードを使ってそれらを参照していました。,1
122,00:07:52:02,00:07:57:01,"つまり、まず3,000のコンテンツノードと",1
123,00:07:57:01,00:08:00:24,"6,000以上のメディアアセットをすべて移行する必要がありました。",1
124,00:08:00:26,00:08:03:20,そして、インラインのショートコードをすべて,1
125,00:08:03:20,00:08:06:00,新しいメディア埋め込み形式に変換する必要がありました。,1
126,00:08:06:18,00:08:07:23,これまでコンテンツエディターは、,1
127,00:08:08:05,00:08:10:25,IMCEを利用してファイルや画像を,1
128,00:08:10:25,00:08:14:26,直接サーバーにアップロードすることができました。,1
129,00:08:15:06,00:08:16:13,今回の移行では、,1
130,00:08:16:13,00:08:21:09,"1,500以上のインラインファイルソースをメディアタイプに変換しました。",1
131,00:08:21:11,00:08:24:23,これには画像、ドキュメント、埋め込み動画が含まれます。,1
132,00:08:24:23,00:08:29:11,これにより、すべてのファイルが管理されたシステム内にあることが保証されるだけでなく、,1
133,00:08:29:11,00:08:33:04,システムの安全性も向上しました。,1
134,00:08:33:16,00:08:37:10,Drupal Migrate APIスクリプトを利用して、,1
135,00:08:37:10,00:08:40:25,"合計で10,000以上のコンテンツやアセットを移行しています。",1
136,00:08:40:28,00:08:42:09,移行プロファイルは、,1
137,00:08:42:09,00:08:45:26,テスト目的のモックアップデータを提供するために、,1
138,00:08:45:26,00:08:48:00,プロジェクトで使い続けました。,1
139,00:08:48:18,00:08:53:02,各新機能の開発中ローカル環境とクラウドCI環境では、,1
140,00:08:53:02,00:08:57:08,毎回モックアップデータを使用してサイトを構築しています。,1
141,00:08:57:23,00:09:01:19,これにより、ユニットテストを繰り返し実行し、,1
142,00:09:01:29,00:09:06:18,より堅牢で信頼性の高いデプロイメントを実現することができました。,1
143,00:09:07:06,00:09:09:23,移行はプロジェクトにとって重要であり、,1
144,00:09:09:27,00:09:15:14,内容の確認や結果の検証に多くの労力を要しました。,1
145,00:09:15:14,00:09:17:11,しかし、その価値はあり、,1
146,00:09:17:13,00:09:21:12,プロジェクトの成功に重要な役割を果たしました。,1
147,00:09:21:25,00:09:23:05,移行にとどまらず、,1
148,00:09:23:08,00:09:27:11,プロジェクトを成功に導いた3つの鍵があります。,1
149,00:09:27:28,00:09:33:22,私たちは、チームと上司に進捗状況を常に伝えるようにしました。,1
150,00:09:33:27,00:09:37:21,OISTは大きな組織であり、多くの意思決定ルートがあります。,1
151,00:09:37:21,00:09:41:16,そのため、必要に応じてステークホルダーと直接面談を行いました。,1
152,00:09:41:16,00:09:43:28,また、適切なルートでサポートし、,1
153,00:09:43:28,00:09:47:04,コミュニケーションを取れる人を探しました。,1
154,00:09:49:00,00:09:52:18,プロジェクトのタスクを管理し、,1
155,00:09:52:18,00:09:55:18,コミュニケーションを支援するツールを効果的に使っています。,1
156,00:09:56:18,00:09:57:21,ベストなツールはありませんが、,1
157,00:09:57:21,00:10:02:06,チームメンバー全員が喜んで使える適切なツールを探しました。,1
158,00:10:03:16,00:10:06:21,繰り返しの作業とリスクを減らすために、,1
159,00:10:06:23,00:10:11:29,私たちはテストとプロセスの自動化に可能な限り頼っています。,1
160,00:10:12:18,00:10:17:14,これら全ての要素が相まって、プロジェクトは成功するのです。,1
161,00:10:18:24,00:10:23:15,プロジェクトの最初の段階で、ベンダーは,1
162,00:10:23:22,00:10:27:17,GitHubとそのProjectツールを使ってタスク管理を行いました。,1
163,00:10:27:29,00:10:30:00,これにより、開発者と私たちは、,1
164,00:10:30:00,00:10:32:03,プロジェクトマネージャーを通したコミュニケーションだけでなく、,1
165,00:10:32:05,00:10:35:05,自由にコミュニケーションをとることができるようになりました。,1
166,00:10:35:24,00:10:39:26,これにより、開発のスピードアップ、作業の透明化、,1
167,00:10:39:26,00:10:42:11,相互の信頼関係の向上が図られました。,1
168,00:10:43:02,00:10:46:23,納品後は、Shortcutを導入し、,1
169,00:10:46:23,00:10:50:05,開発とコンテンツ制作の両タスクを,1
170,00:10:50:05,00:10:51:22,同じプラットフォームで管理するようにしました。,1
171,00:10:52:02,00:10:57:00,Shortcutでは、GitHubを統合してプルリクエストの状況を把握し、,1
172,00:10:57:00,00:11:00:12,開発タスクの状況を同期させることができました。,1
173,00:11:00:19,00:11:03:06,GitHubはすでに多くの人が知っており、,1
174,00:11:03:06,00:11:09:05,そのプロジェクト管理ツールはより成熟し、使いやすくなっています。,1
175,00:11:09:19,00:11:14:03,Shortcutは開発作業と編集作業の両方を,1
176,00:11:14:03,00:11:16:16,簡単に管理できるタスク管理システムです。,1
177,00:11:16:25,00:11:19:07,開発と編集のタスクは,1
178,00:11:19:07,00:11:21:05,それぞれ異なるワークフローを必要とすることから、,1
179,00:11:21:08,00:11:25:15,Shortcutでそれぞれ異なるワークフローを作成し、,1
180,00:11:25:20,00:11:30:10,それらを同じEpicやIterationに簡単に取り込むことができます。,1
181,00:11:30:14,00:11:34:12,これは、複数の機能を持つチームにとって非常に便利な機能です。,1
182,00:11:35:05,00:11:37:01,Shortcutで Githubと開発タスクのステータスを,1
183,00:11:37:01,00:11:39:27,素早く同期させることができますね。,1
184,00:11:40:12,00:11:43:13,別々のプラットフォームでありながら、,1
185,00:11:43:13,00:11:46:03,両者の間でシームレスに仕事ができるのです。,1
186,00:11:46:04,00:11:48:18,2人の開発者で構成される開発チームであり、,1
187,00:11:48:18,00:11:52:14,開発タスクと問題解決に集中する必要があります。,1
188,00:11:52:23,00:11:56:17,CI/CDプロセスは第3の開発者の役割を果たし、,1
189,00:11:56:22,00:11:57:24,コーディング標準をチェックし、,1
190,00:11:57:24,00:12:00:27,私たちに代わってコードをデプロイしてくれます。,1
191,00:12:01:07,00:12:05:03,これにより、開発者はコードをオンライン開発環境にコミットした後、,1
192,00:12:05:03,00:12:09:19,次のタスクに素早く移ることができます。,1
193,00:12:10:12,00:12:13:07,コミットがCI/CDワークフローを通過したら、,1
194,00:12:13:16,00:12:17:19,あとはプルリクエストでコードのロジックのレビューに専念し、,1
195,00:12:17:20,00:12:22:04,CI/CDに本番環境へのデプロイを依頼することができるのです。,1
196,00:12:22:10,00:12:26:18,ツール、スクリプト、そして継続的なコミュニケーションにより、,1
197,00:12:26:21,00:12:29:20,プロジェクトをスムーズに完了させることができました。,1
198,00:12:29:29,00:12:32:21,もちろん、勤勉なチームメンバーの存在が、,1
199,00:12:32:29,00:12:36:07,プロジェクト成功の核となった。,1
200,00:12:37:13,00:12:42:26,OISTは、職員や学生を含め、メンバーの50％以上が,1
201,00:12:43:02,00:12:47:07,外国人であるという、日本ではユニークな大学院大学です。,1
202,00:12:47:19,00:12:51:09,当大学の細胞シグナルユニットもその例にもれず、,1
203,00:12:51:15,00:12:53:24,第一線の教授陣、研究仲間、,1
204,00:12:53:24,00:12:56:12,そして学生も世界各国から集まっています。,1
205,00:12:56:23,00:12:57:29,そのため、,1
206,00:12:58:04,00:13:01:28,OISTでは英語と日本語が同じくらい重要視されており、,1
207,00:13:02:00,00:13:08:04,ホームページのコンテンツもほとんどが両言語に翻訳されています。,1
208,00:13:09:10,00:13:13:00,プロジェクト期間中、私たちは多くの翻訳問題に取り組みました。,1
209,00:13:13:00,00:13:14:27,本講演の第二部では、,1
210,00:13:14:27,00:13:18:18,特に日本やAPAC地域の参加者のために、,1
211,00:13:18:18,00:13:22:19,そのうちのいくつかに焦点を当てたいと思います。,1
212,00:13:23:14,00:13:26:21,Drupalはコアにしっかりとした翻訳システムを持っています。,1
213,00:13:26:23,00:13:29:20,あなたの経験や役割に応じて、,1
214,00:13:29:22,00:13:33:05,翻訳を行う方法は常にあります。,1
215,00:13:33:20,00:13:35:00,サイト構築者として、,1
216,00:13:35:02,00:13:38:10,フィールド翻訳を有効にしたノードを翻訳することができます。,1
217,00:13:38:16,00:13:41:01,また、ユーザーインターフェースに,1
218,00:13:41:01,00:13:43:14,表示される多くの文字列を翻訳することができます。,1
219,00:13:43:29,00:13:49:06,TWIGを使って、変数が入った翻訳可能な文章をマークしています。,1
220,00:13:49:16,00:13:50:23,デベロッパーとして,1
221,00:13:50:25,00:13:52:15,開発者としては、t() 関数で,1
222,00:13:52:15,00:13:54:11,翻訳可能な文字列をマークすればいいのです。,1
223,00:13:54:17,00:13:59:05,文中で動的変数を使用することも可能です。,1
224,00:13:59:20,00:14:04:11,しかし、単語が動詞であったり名詞であったり、,1
225,00:14:04:23,00:14:10:09,複数の意味を持つため、翻訳文脈が必要な場合がある。,1
226,00:14:10:11,00:14:11:11,例えば,1
227,00:14:11:14,00:14:12:14,"""コンタクト""",1
228,00:14:12:19,00:14:16:03,日本語では2種類の言葉に翻訳されます,1
229,00:14:16:19,00:14:18:18,アクションとして、「コンタクト」。,1
230,00:14:18:21,00:14:21:27,"セクションラベルとしては、""連絡先 ""です。",1
231,00:14:22:14,00:14:26:15,ユーザーエクスペリエンスのローカライズについては、,1
232,00:14:26:15,00:14:28:25,最新のDrupalCon Pragueでの私の講演に詳細があります。,1
233,00:14:29:04,00:14:30:09,もし、あなたが興味を持っていて、,1
234,00:14:30:09,00:14:32:07,バイリンガルサイトによく携わっているのであれば、,1
235,00:14:32:07,00:14:33:25,参考になるかと思います。,1
236,00:14:33:25,00:14:36:04,しかし、今日はプロジェクト特有の、,1
237,00:14:36:04,00:14:39:25,日本語に関連する問題に焦点を当てたいと思います。,1
238,00:14:40:08,00:14:43:03,考慮すべき問題のひとつは、日付の形式です,1
239,00:14:43:15,00:14:45:18,日本や台湾では、,1
240,00:14:46:03,00:14:51:28,年、月、日の順に記載する形式が一般的です。,1
241,00:14:52:21,00:14:56:00,海外では、国によって,1
242,00:14:56:08,00:15:02:28,9月12日とも12月9日とも解釈される日付形式をよく見かけます。,1
243,00:15:02:28,00:15:07:01,例えば、ヨーロッパの多くの国では12月9日と読みますが、,1
244,00:15:07:01,00:15:11:27,アメリカでは9月12日と読みます。,1
245,00:15:12:11,00:15:15:14,OISTのメンバーの多様性を考えると、,1
246,00:15:15:19,00:15:18:01,情報の理解を一致させるために,1
247,00:15:18:01,00:15:21:28,共通の方法を見つけなければなりません。,1
248,00:15:23:02,00:15:26:29,そのため、英語版UIではISO 8601形式を使用します。というのは、,1
249,00:15:26:29,00:15:30:20,日本語のUIでも同じ順序でフォーマットされているからです,1
250,00:15:31:12,00:15:35:25,また、日本語、中国語、韓国語の入力も重要な課題です。,1
251,00:15:35:25,00:15:39:27,CJK言語と呼ばれることもあります。,1
252,00:15:40:23,00:15:43:21,キーボードでローマ字を打つのは比較的簡単ですが、,1
253,00:15:43:21,00:15:48:15,CJK言語ではどのように文字を打つのでしょうか。,1
254,00:15:50:26,00:15:54:14,"ここでは、""保健所からCOVID-19陽性の通知を受けたらどうするか ""について、",1
255,00:15:54:14,00:15:58:03,日中韓の言語でいくつかの段落を紹介します。,1
256,00:15:58:22,00:16:01:22,CJK言語では、,1
257,00:16:01:22,00:16:04:20,文に空白が入ることはほとんどありません。,1
258,00:16:04:27,00:16:09:06,内容をインデックス化し、検索しやすくするために、,1
259,00:16:09:21,00:16:11:29,通常は余分な処理が必要である。,1
260,00:16:12:17,00:16:16:28,では、日中韓のキーボードはどうなっているのだろうか。,1
261,00:16:17:06,00:16:18:23,左から右へ,1
262,00:16:18:25,00:16:22:02,繁体字中国語のキーボードが2つあります。,1
263,00:16:22:03,00:16:24:20,そして、携帯電話には韓国語キーボードと,1
264,00:16:24:20,00:16:30:04,日本語キーボードの2つのレイアウト、,1
265,00:16:30:04,00:16:34:04,つまり50音順のコンパクトなキーボードレイアウトがあります。,1
266,00:16:34:16,00:16:37:21,知らない人にとっては、,1
267,00:16:37:27,00:16:39:26,パズルのように見えるかもしれません。,1
268,00:16:41:11,00:16:44:12,単語を入力する際、キーストロークが異なる。,1
269,00:16:44:25,00:16:46:11,「コンピュータ」という単語も、,1
270,00:16:46:29,00:16:53:29,台湾の繁体字中国語と中国の簡体字中国語では異なることがわかる。,1
271,00:16:54:05,00:16:55:28,日中韓の言語を入力する場合、,1
272,00:16:55:28,00:17:01:03,すべてのセグメントを入力して初めて1つの単語が完成する。,1
273,00:17:01:16,00:17:03:13,英語と違って、,1
274,00:17:03:20,00:17:07:11,入力が完了する前に単語の組み合わせがあるかもしれない。,1
275,00:17:10:14,00:17:11:19,動画の中では、,1
276,00:17:12:03,00:17:14:20,日本語の漢字を入力するには,1
277,00:17:14:23,00:17:18:26,、1～4個、あるいはそれ以上の,1
278,00:17:18:26,00:17:21:03,発音要素を入力する必要があることが示されています。,1
279,00:17:21:19,00:17:22:25,さらに、,1
280,00:17:23:03,00:17:27:28,漢字には同じ読みを持つ異なる単語が存在します。,1
281,00:17:30:09,00:17:33:14,このため、検索ボックスでは、,1
282,00:17:34:14,00:17:39:26,実際にキーワードを入力し終わる前に検索が始まってしまい、,1
283,00:17:40:05,00:17:42:14,ユーザーに迷惑をかけるという問題があります。,1
284,00:17:43:14,00:17:47:22,この問題は、JavaScriptの特別なイベントメソッドを実装し、,1
285,00:17:47:22,00:17:51:09,キーワード入力の完了を待ってから,1
286,00:17:51:14,00:17:54:01,検索をトリガーすることで改善されます。,1
287,00:18:00:09,00:18:01:17,この動画では、,1
288,00:18:01:20,00:18:03:15,いくつかの改善が見られました。,1
289,00:18:05:01,00:18:07:16,英語の入力は正常に行われ、,1
290,00:18:07:16,00:18:09:26,日本語の「コロナ」は、,1
291,00:18:09:26,00:18:13:20,単語が完成した時点で初めて検索されることがわかります。,1
292,00:18:17:13,00:18:23:01,Drupalでは、タグや参照する実体のオートコンプリート欄があります。,1
293,00:18:23:05,00:18:27:27,コアには以前からこの問題がありましたが、2016年、,1
294,00:18:28:00,00:18:30:04,Drupalのコントリビューターのおかげで修正されました。,1
295,00:18:30:27,00:18:36:24,主に、入力が終わった時の特別なイベントを特定するために、,1
296,00:18:36:24,00:18:39:14,CompositionEventを使用しています。,1
297,00:18:41:00,00:18:43:27,このカスタムオートコンプリート検索ボックスを作成したとき、,1
298,00:18:43:27,00:18:46:24,イベントも実装する必要がありました。,1
299,00:18:47:18,00:18:52:21,まず、CJK入力メソッドの開始位置を検出します。,1
300,00:18:53:01,00:18:56:16,次に、compositionEndイベントが起こるので、,1
301,00:18:57:04,00:19:00:19,単語が決定するまで待ちます。,1
302,00:19:01:08,00:19:04:09,最後に、このAJAXリクエストを送信します。,1
303,00:19:05:07,00:19:09:03,タイピングの問題に続いて、ソートの問題を見てみましょう。,1
304,00:19:09:03,00:19:14:21,英語では、記事のタイトル、,1
305,00:19:14:22,00:19:17:19,分類タグ、名前など、アルファベットを使ってソートすることが多い。,1
306,00:19:17:26,00:19:23:23,しかし、日本語や中国語でソートする場合は、まったく違います。,1
307,00:19:24:14,00:19:27:12,日本語では、五十音の順番で並べ替えることは、,1
308,00:19:27:19,00:19:31:19,ほとんどの人が知っています。,1
309,00:19:32:17,00:19:36:14,そして、漢字もあります。,1
310,00:19:37:10,00:19:39:09,ある配列の中に、,1
311,00:19:39:12,00:19:44:06,アルファベット、数字、ひらがな、カタカナ、,1
312,00:19:44:11,00:19:45:17,漢字がある場合、,1
313,00:19:45:25,00:19:47:22,どのようにすれば正しく並べられるのでしょうか。,1
314,00:19:48:02,00:19:52:25,日本語の理想的な順番は、右のようなものです。,1
315,00:19:53:02,00:19:56:23,英語のように簡単な数字のアルファベットから始まり、,1
316,00:19:56:23,00:20:02:04,ひらがな、カタカナ、そして最後に漢字。,1
317,00:20:02:22,00:20:05:21,ひらがな、カタカナは五十音の順番で並んでいます。,1
318,00:20:05:21,00:20:08:14,漢字ではどのような順番になるのでしょうか？,1
319,00:20:09:20,00:20:12:05,sort() 関数を直接使うと、,1
320,00:20:12:14,00:20:15:26,Unicodeテーブルの各文字の,1
321,00:20:15:26,00:20:19:11,インデックス番号に基づいて配列がソートされます。,1
322,00:20:19:16,00:20:22:20,しかし、これは日本語話者にとっては意味がありません。,1
323,00:20:22:20,00:20:26:00,なぜなら、文字の並び順は,1
324,00:20:26:00,00:20:29:07,その言語での適切な並び方を反映していないからです。,1
325,00:20:30:17,00:20:35:06,JavaScriptの関数localeCompare()を使えば、,1
326,00:20:35:06,00:20:40:02,最初の文字の読み方に基づいて漢字をソートすることができます。,1
327,00:20:40:05,00:20:44:08,最初の文字が同じなら次の文字も同じにする,1
328,00:20:44:17,00:20:48:10,PHPにも似たような関数がありますが、,1
329,00:20:48:10,00:20:51:19,バックエンドでよりよいソート結果を得るには、,1
330,00:20:51:19,00:20:55:06,データベースクエリを使用することが推奨されます。,1
331,00:20:57:05,00:21:03:04,しかし、これは完璧ではなく、真ん中の単語が1つだけ間違っています。,1
332,00:21:03:23,00:21:04:23,岩下,1
333,00:21:06:10,00:21:10:13,漢字に別の発音があるからです。,1
334,00:21:10:15,00:21:16:08,最初の文字は「いわ」ではなく、,1
335,00:21:16:11,00:21:18:00,「がん」と読みます。,1
336,00:21:19:23,00:21:28:07,もうひとつ、同じ漢字で「かわの」、「こうの」という名字もあります。,1
337,00:21:28:28,00:21:31:11,日本語でも中国語でも、,1
338,00:21:31:11,00:21:35:07,この漢字は複数の発音を持つことができるんですね。,1
339,00:21:36:10,00:21:39:16,複数の発音を持つ文字はいくつあるのでしょうか？,1
340,00:21:39:18,00:21:44:10,"日本には2,000ある文字のうち、",1
341,00:21:44:10,00:21:47:26,600以上の文字が複数の読み方を持っています。,1
342,00:21:48:21,00:21:52:29,台湾の教育部による公式定義では,1
343,00:21:53:09,00:21:59:23,"一般的に使用される繁体字中国語は5,000字中1,263字であった。",1
344,00:22:00:23,00:22:02:25,10年ほど前に、,1
345,00:22:02:29,00:22:06:00,その多くを見直し、統合して,1
346,00:22:06:00,00:22:09:23,580字に減らした。,1
347,00:22:10:16,00:22:13:22,漢字を例にしてみましょう。,1
348,00:22:13:26,00:22:18:09,文化的背景が異なるため、より多くの発音がある。,1
349,00:22:18:09,00:22:19:17,そのうちの4つは、,1
350,00:22:19:17,00:22:23:21,様々な時代の古代中国から受け継いだ音読であり、,1
351,00:22:24:12,00:22:28:20,もう4つは本来の日本語の訓読を表している。,1
352,00:22:29:29,00:22:33:17,元の中国語漢字はよく似ていて、,1
353,00:22:33:21,00:22:35:25,3つの発音がある。,1
354,00:22:36:17,00:22:39:25,この文字は、「音楽」を表す樂（ユエ）、,1
